id,participant_type,participant_group,duration,sessions,d1_reading_time,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_rate,d1_correctness,d1_insecurity,d1_insecurity_count,d2_reading_time,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_rate,d2_correctness,d2_insecurity,d2_insecurity_count,age_range,education_fields,education_level,employment,employment_fields,italian_knowledge,exclusion_reason
1,ADMINISTRATIVE,A,1020,1,499.972,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5,False,0,226.652,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,25-34,JURIDICAL,BACHELOR,EMPLOYEE,ADMINISTRATIVE,M,
10,ADMINISTRATIVE,B,985,1,383.87,1.0,3.0,3.0,1.0,1.0,1.0,3.0,4,False,0,233.47,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3,False,0,35-44,OTHER,HIGH,EMPLOYEE,IT | OTHER,M,
11,ADMINISTRATIVE,A,878,1,309.125,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2,False,0,221.966,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5,False,0,45-54,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M,
13,ADMINISTRATIVE,C,1016,1,416.598,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4,False,0,316.136,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,45-54,OTHER,HIGH,EMPLOYEE,ADMINISTRATIVE,M,
14,ADMINISTRATIVE,B,1138,1,323.449,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4,False,0,289.004,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3,False,0,55-64,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M,
15,ADMINISTRATIVE,C,1004,1,416.329,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5,False,0,295.649,1.0,2.0,4.0,2.0,1.0,1.0,3.0,3,False,0,35-44,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M,
2,ADMINISTRATIVE,B,944,1,389.441,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,212.516,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6,False,0,45-54,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M,
3,ADMINISTRATIVE,D,1434,1,671.302,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,372.378,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,45-54,HUMANISTIC,MASTER,EMPLOYEE,ADMINISTRATIVE,M,
4,ADMINISTRATIVE,A,1474,1,827.184,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4,False,0,444.44,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4,False,0,45-54,HUMANISTIC,PHD,EMPLOYEE,EDUCATION,M,
7,ADMINISTRATIVE,D,1788,1,649.189,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5,False,0,581.684,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,55-64,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M,
S1,FOREIGNER,D,-9223372037,3,0.0,,,,,,,,0,False,0,3545.498,1.0,1.0,2.0,5.0,1.0,,,3,True,1,18-24,HUMANISTIC,NO,STUDENT,OTHER,B1,NOT TERMINATED
S10,FOREIGNER,A,545,2,-137.944,3.0,2.0,3.0,4.0,1.0,1.0,5.0,2,False,0,211.429,2.0,4.0,4.0,1.0,1.0,2.0,5.0,2,False,0,18-24,HUMANISTIC,HIGH,STUDENT,OTHER,B1,LOW TIME
S11,FOREIGNER,B,28,1,5.219,3.0,1.0,1.0,3.0,4.0,1.0,3.0,3,False,0,0.0,,,,,,,3.0,0,False,0,18-24,HUMANISTIC,MID,STUDENT,ARTISTIC,B1,DATA ERROR
S12,FOREIGNER,C,-9223372037,1,0.0,,,,,,,,0,False,0,58.42,,,,,,,,0,False,0,18-24,ENGINEERING,BACHELOR,STUDENT,IT,A2,NOT TERMINATED
S13,FOREIGNER,A,1234,1,378.102,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4,False,0,133.848,1.0,3.0,4.0,1.0,1.0,1.0,4.0,4,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B1,
S14,FOREIGNER,C,-9223372037,0,0.0,,,,,,,,0,False,0,0.0,,,,,,,,0,False,0,18-24,JURIDICAL,OTHER,OTHER,SALES,C1,NOT TERMINATED
S15,FOREIGNER,B,1164,1,508.278,4.0,2.0,3.0,1.0,1.0,5.0,4.0,2,True,1,397.153,4.0,4.0,4.0,1.0,1.0,4.0,5.0,2,False,0,35-44,OTHER,HIGH,EMPLOYEE,HEALTH,A2,
S16,FOREIGNER,B,1282,1,682.284,1.0,4.0,1.0,3.0,1.0,4.0,5.0,3,False,0,151.393,4.0,3.0,3.0,4.0,4.0,4.0,5.0,0,False,0,18-24,HUMANISTIC | JURIDICAL,BACHELOR,STUDENT,EDUCATION | SALES | ARTISTIC,B1,BOTH CONTROL QUESTION
S17,FOREIGNER,D,2311,1,392.706,2.0,3.0,5.0,5.0,5.0,1.0,5.0,1,True,3,1323.524,1.0,1.0,5.0,2.0,1.0,1.0,5.0,4,True,1,18-24,ARTISTIC | OTHER,BACHELOR,STUDENT,OTHER,B1,
S18,FOREIGNER,C,1749,3,508.481,5.0,5.0,2.0,5.0,1.0,1.0,5.0,2,True,3,333.299,1.0,3.0,3.0,2.0,1.0,1.0,5.0,3,False,0,18-24,HUMANISTIC | OTHER,BACHELOR,STUDENT,ARTISTIC | OTHER,B1,
S19,FOREIGNER,D,1475,2,393.577,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,True,6,448.949,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,True,6,18-24,HUMANISTIC,BACHELOR,STUDENT,OTHER,B1,BOTH CONTROL QUESTION
S2,FOREIGNER,C,4175,2,1303.269,4.0,3.0,2.0,4.0,5.0,3.0,4.0,0,True,1,-1192.153,1.0,5.0,1.0,1.0,1.0,5.0,5.0,4,True,2,18-24,SCIENTIFIC,HIGH,STUDENT,OTHER,B2,NEGATIVE READING TIME
S20,FOREIGNER,D,2152,1,917.382,1.0,4.0,1.0,1.0,1.0,4.0,5.0,4,False,0,737.965,1.0,4.0,2.0,1.0,1.0,1.0,5.0,4,False,0,18-24,HUMANISTIC | JURIDICAL,BACHELOR,STUDENT,ADMINISTRATIVE | EDUCATION | ARTISTIC,B1,
