"uuid","age_range","education_fields","education_level","employment","employment_fields","italian_knowledge"
"01a08668-7ff0-407c-9ca7-b3199a7e67e1","45-54","JURIDICAL","MASTER","EMPLOYEE","ADMINISTRATIVE","M"
"02f20641-0047-4e69-86c4-be3a9d07e841","35-44","JURIDICAL","MASTER","EMPLOYEE","ADMINISTRATIVE","M"
"03b757a4-1d34-4402-a7f6-076c3e3df170","25-34","JURIDICAL","BACHELOR","EMPLOYEE","ADMINISTRATIVE","M"
"052070fa-c886-48c1-8bcc-33a1f91bf703","25-34","HUMANISTIC","BACHELOR","UNEMPLOYED","EDUCATION","C2"
"08aeabdc-5ee0-4169-931f-78c2e10a2f09","18-24","HUMANISTIC | JURIDICAL","BACHELOR","STUDENT","EDUCATION | SALES | ARTISTIC","B1"
"0a5f42ce-fed5-4185-a113-68e1e5d7d96e","18-24","HUMANISTIC","BACHELOR","STUDENT","OTHER","B1"
"0b440e07-d002-457a-b707-f177b4b5e1ee","18-24","ARTISTIC","BACHELOR","STUDENT","OTHER","M"
"0c10f64e-6839-421b-abc1-091ef56f1e8d","25-34","SCIENTIFIC","MASTER","EMPLOYEE","HEALTH","M"
"0c4bf1c2-74ff-44d7-b996-c74abda8a95e","35-44","HEALTH","MASTER","EMPLOYEE","OTHER","M"
"0ed5679f-df01-4f5e-a74b-551ab2f24d7f","45-54","OTHER","HIGH","EMPLOYEE","ARTISTIC","M"
"0f00fbf0-5a6c-444a-862b-784825f18501","55-64","HUMANISTIC","MASTER","EMPLOYEE","EDUCATION","M"
"0f490b58-a696-42a4-8e5c-3005db60557e","25-34","ENGINEERING","MASTER","EMPLOYEE","IT","M"
"0fcbbf78-e070-4d72-ac9b-ab2f360b5744","25-34","ENGINEERING","MASTER","STUDENT","IT","M"
"0fe54a60-19d0-4a75-86a5-dc4a159a943c","45-54","HUMANISTIC","HIGH","EMPLOYEE","EDUCATION","M"
"1013b10a-b141-49d5-b0f0-af4e237ac47a","18-24","HUMANISTIC | OTHER","BACHELOR","STUDENT","ARTISTIC | OTHER","B1"
"1123aebd-085a-4580-b81b-86fc51b2c62e","18-24","HUMANISTIC","HIGH","STUDENT","OTHER","B1"
"11e599c3-3363-4c71-ae26-0f1f369198bc","18-24","EDUCATION","BACHELOR","STUDENT","OTHER","A2"
"14ba3011-1dee-43cf-aba3-9f226821256e","55-64","HUMANISTIC","PHD","EMPLOYEE","ADMINISTRATIVE","M"
"15697c48-922f-42f5-b873-a3e131876449","25-34","HEALTH","MASTER","EMPLOYEE","HEALTH","M"
"18147218-9b55-44a2-90a9-ca23be2e5ac5","45-54","JURIDICAL","MASTER","EMPLOYEE","EDUCATION","M"
"19dbb7ad-edb6-4bcc-9976-2259dec4a760","35-44","JURIDICAL","MASTER","EMPLOYEE","ADMINISTRATIVE","M"
"1d33b92f-5287-4040-b3bc-579250da84f3","18-24","ENGINEERING","BACHELOR","STUDENT","IT","A2"
"1e7015fc-e590-4ded-9c5d-408b4e83ab39","25-34","HUMANISTIC","PHD","EMPLOYEE","EDUCATION","M"
"1fbfd17e-940b-485c-ae03-59978deac200","18-24","ENGINEERING","HIGH","STUDENT","ADMINISTRATIVE","B2"
"203f0ac3-9af7-4788-8fa2-e4d99a26d4c7","18-24","OTHER","BACHELOR","STUDENT","OTHER","B2"
"203f100b-78be-486b-b9b8-da4e46263ec0","18-24","JURIDICAL","HIGH","STUDENT","OTHER","B1"
"2255c854-3eaa-4777-bcb9-a0c2cc838632","18-24","OTHER","HIGH","STUDENT","OTHER","B2"
"23c6e76b-7c2d-49ad-b94f-d8877f99fdd2","45-54","ENGINEERING","MASTER","EMPLOYEE","ARTISTIC","M"
"268018ab-b30f-4450-bf79-7aa45392e29e","65+","EDUCATION","HIGH","RETIRED","EDUCATION","M"
"26f5b225-b1cd-4f74-9e28-47a3c1bc1083","35-44","ENGINEERING","MASTER","EMPLOYEE","OTHER","M"
"27df3d76-89b2-4c14-abd4-b7c5609d7e6d","55-64","HUMANISTIC","HIGH","EMPLOYEE","OTHER","M"
"28c036c8-9f5a-4df3-b65b-715ef4084611","45-54","HUMANISTIC | ARTISTIC","BACHELOR","EMPLOYEE","OTHER","M"
"290c2359-7a95-4798-a047-3f8ff63bd2ad","25-34","HUMANISTIC","MASTER","EMPLOYEE","OTHER","M"
"2a7ebaa9-e8cd-4ad9-a28e-f6919cdf513c","35-44","EDUCATION","MASTER","EMPLOYEE","EDUCATION","M"
"2acc81e3-feb4-40bc-a9d4-2f3a79479279","18-24","EDUCATION","BACHELOR","STUDENT","OTHER","B2"
"2af38414-3c6a-491a-a65c-8eb46e7693ba","18-24","HUMANISTIC","LOW","STUDENT","OTHER","B1"
"2ce230e8-5169-46ff-8b95-fd94da45bc30","25-34","JURIDICAL","MASTER","UNEMPLOYED","OTHER","M"
"2e7eeaca-2d20-4a41-b757-51f39a281383","18-24","SCIENTIFIC","HIGH","STUDENT","OTHER","B2"
"2e89e9c5-4760-4108-aa74-03809a091059","18-24","HEALTH","HIGH","STUDENT","HEALTH","M"
"2eaac1ad-5b8a-47d4-9400-9348edc76bca","18-24","HEALTH","HIGH","STUDENT","OTHER","A2"
"2fcf95b0-9a07-49f6-9028-c38a9cedc9c5","18-24","JURIDICAL","HIGH","EMPLOYEE","SALES","M"
"31100f02-d981-4a74-ab0d-d1a088320d6a","18-24","OTHER","HIGH","STUDENT","OTHER","B2"
"3174b261-9b17-4321-8d96-edc818e677c1","55-64","HUMANISTIC","HIGH","OTHER","EDUCATION","M"
"338232d7-5e71-41e9-8ad6-c815d7fbff8b","18-24","OTHER","HIGH","STUDENT","OTHER","C1"
"349064d7-5938-4f3a-8e00-233667eefbb5","18-24","HUMANISTIC","BACHELOR","STUDENT","OTHER","B1"
"351d85af-bcaa-4dca-b69f-6bf35367b0d5","18-24","JURIDICAL","HIGH","STUDENT","SALES","B1"
"37f4b218-048a-4325-bb62-b2c237449985","45-54","HUMANISTIC","BACHELOR","EMPLOYEE","OTHER","B2"
"3860752d-d049-4cd1-8e6a-94170e405939","18-24","HUMANISTIC","BACHELOR","STUDENT","OTHER","B1"
"39a3f699-d427-4177-af4b-74f7e2c7d35c","18-24","OTHER","HIGH","STUDENT","OTHER","B1"
"3a2ca58b-c883-491e-87d6-8342052f5cf5","45-54","HUMANISTIC","MASTER","EMPLOYEE","EDUCATION","M"
"3c2288c7-17d6-4b84-ac3f-bbfb68babc2f","18-24","OTHER","HIGH","STUDENT","EDUCATION","B1"
"3dc19098-df98-4fe5-9d3c-20ad7faaf2c1","55-64","OTHER","HIGH","EMPLOYEE","OTHER","M"
"3df3d9ce-efaa-4e58-87ef-4a11cd208790","25-34","OTHER","HIGH","EMPLOYEE","OTHER","M"
"407d3007-7d7d-4eb0-81b9-abec822b5c76","65+","OTHER","BACHELOR","EMPLOYEE","EDUCATION","M"
"41344ac6-d7ec-4ff0-96ec-5a23ea03a357","18-24","HUMANISTIC","LOW","STUDENT","ADMINISTRATIVE","B1"
"43e2949a-4ade-4a2b-b270-ef982674dd25","18-24","OTHER","HIGH","STUDENT","OTHER","B1"
"4628f2bd-6faf-4df1-861b-bf3764b424eb","18-24","OTHER","BACHELOR","STUDENT","OTHER","B1"
"49b4b1f6-9063-405f-a4ca-8fa10cc8b24a","45-54","HUMANISTIC","MASTER","EMPLOYEE","ADMINISTRATIVE","M"
"4afee338-86ee-4040-b4a2-7d900f76c96c","18-24","OTHER","HIGH","STUDENT","OTHER","B1"
"4c7743a4-24f8-4ade-b013-2d0e8c45ba8f","35-44","OTHER","HIGH","EMPLOYEE","IT | OTHER","M"
"4ca3d2da-1acd-44f1-b345-29b3c9544f78","25-34","ENGINEERING","MASTER","STUDENT","IT","M"
"4d953100-0c89-4777-ad8b-f2d3622ff9c2","45-54","HUMANISTIC","PHD","EMPLOYEE","EDUCATION","M"
"50b25cb6-1bb8-462a-bde1-be75e5f06493","18-24","OTHER","BACHELOR","STUDENT","OTHER","B1"
"51da5932-3a2d-4248-9512-aa3a1e472a0f","18-24","HUMANISTIC","MID","STUDENT","ARTISTIC","B1"
"5314f14d-d2b8-44b0-b011-849e68bf60e8","25-34","HUMANISTIC | EDUCATION","MASTER","EMPLOYEE","EDUCATION","M"
"5505c281-3798-41e7-88e2-a41e091a6b80","18-24","ENGINEERING","BACHELOR","STUDENT","IT","A2"
