"id","event","timestamp","participant"
"1","d1 | invisible | q2","1719431165964","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"2","d1 | invisible | q5","1719431165964","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"3","d1 | hover | text","1719431166206","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"4","d1 | leave | text","1719431190605","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"5","d1 | invisible | q3","1719431165964","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"6","d1 | invisible | q4","1719431165964","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"7","d1 | invisible | q6","1719431165964","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"8","survey | load","1719431165925","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"9","d1 | invisible | q1","1719431165964","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"10","d1 | hover | text","1719431172039","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"11","d1 | leave | text","1719431169855","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"12","d1 | visible | text","1719431165964","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"13","d1 | visible | q2","1719431267935","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"14","d1 | invisible | q3","1719431209985","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"15","d1 | leave | q1","1719431262167","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"16","d1 | visible | q2","1719431261218","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"17","d1 | invisible | q1","1719431262218","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"18","d1 | invisible | q6","1719431209986","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"19","d1 | visible | q4","1719431261485","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"20","d1 | invisible | q5","1719431209987","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"21","d1 | leave | text","1719431261435","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"22","d1 | visible | q3","1719431268002","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"23","d1 | visible | q2","1719431261884","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"24","d1 | invisible | q2","1719431209987","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"25","d1 | leave | q1","1719431261534","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"26","d1 | leave | q3","1719431262017","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"27","d1 | visible | text","1719431209988","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"28","d1 | leave | q1","1719431268951","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"29","d1 | hover | q1","1719431261451","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"30","d1 | invisible | q4","1719431209987","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"31","d1 | invisible | q1","1719431209987","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"32","d1 | visible | text","1719431261968","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"33","d1 | invisible | q4","1719431261935","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"34","d1 | invisible | q5","1719431261901","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"35","d1 | invisible | q2","1719431262185","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"36","d1 | visible | q1","1719431267885","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
